"Name","co3d_forward_frame_delay","test/top1acc","from_hparams_file","frames_per_clip","co3d_temporal_fill","_wandb"
"CoX3D_transient_zeros_fr2_s","56","0.4815000295639038","models/x3d/hparams/s.yaml","13","zeros",""
"CoX3D_transient_zeros_fr2_s","48","0.4815000295639038","models/x3d/hparams/s.yaml","13","zeros",""
"CoX3D_transient_zeros_fr2_s","40","0.5162500143051147","models/x3d/hparams/s.yaml","13","zeros",""
"CoX3D_transient_zeros_fr2_s","36","0.5002500414848328","models/x3d/hparams/s.yaml","13","zeros",""
"CoX3D_transient_zeros_fr2_s","34","0.46675002574920654","models/x3d/hparams/s.yaml","13","zeros",""
"CoX3D_transient_zeros_fr2_s","32","0.4300000071525574","models/x3d/hparams/s.yaml","13","zeros",""
"CoX3D_transient_zeros_fr2_s","30","0.2850000262260437","models/x3d/hparams/s.yaml","13","zeros",""
"CoX3D_transient_zeros_fr2_s","28","0.05375000089406967","models/x3d/hparams/s.yaml","13","zeros",""
"CoX3D_transient_zeros_fr2_s","26","0.0027500002179294825","models/x3d/hparams/s.yaml","13","zeros",""
"CoX3D_transient_zeros_fr2_s","24","0.0012500000884756446","models/x3d/hparams/s.yaml","13","zeros",""
"CoX3D_transient_zeros_fr2_s","16","0.0027500002179294825","models/x3d/hparams/s.yaml","13","zeros",""
"CoX3D_transient_zeros_fr2_s","8","0.0042500002309679985","models/x3d/hparams/s.yaml","13","zeros",""
"CoX3D_transient_zeros_fr2_s","0","0.003250000067055226","models/x3d/hparams/s.yaml","13","zeros",""
"CoX3D_transient_replicate_fr2_s","68","0.4922500252723694","models/x3d/hparams/s.yaml","13","replicate",""
"CoX3D_transient_replicate_fr2_s","76","0.49125003814697266","models/x3d/hparams/s.yaml","13","replicate",""
"CoX3D_transient_replicate_fr2_s","44","0.48225003480911255","models/x3d/hparams/s.yaml","13","replicate",""
"CoX3D_transient_replicate_fr2_s","40","0.4750000238418579","models/x3d/hparams/s.yaml","13","replicate",""
"CoX3D_transient_replicate_fr2_s","36","0.4505000114440918","models/x3d/hparams/s.yaml","13","replicate",""
"CoX3D_transient_replicate_fr2_s","34","0.4327500164508819","models/x3d/hparams/s.yaml","13","replicate",""
"CoX3D_transient_replicate_fr2_s","32","0.39125001430511475","models/x3d/hparams/s.yaml","13","replicate",""
"CoX3D_transient_replicate_fr2_s","30","0.31425002217292786","models/x3d/hparams/s.yaml","13","replicate",""
"CoX3D_transient_replicate_fr2_s","28","0.12600000202655792","models/x3d/hparams/s.yaml","13","replicate",""
"CoX3D_transient_replicate_fr2_s","26","0.004000000189989805","models/x3d/hparams/s.yaml","13","replicate",""
"CoX3D_transient_replicate_fr2_s","24","0.0027500002179294825","models/x3d/hparams/s.yaml","13","replicate",""
"CoX3D_transient_replicate_fr2_s","16","0.002500000176951289","models/x3d/hparams/s.yaml","13","replicate",""
"CoX3D_transient_replicate_fr2_s","8","0.0027500002179294825","models/x3d/hparams/s.yaml","13","replicate",""
"CoX3D_transient_replicate_fr2_s","0","0.0027500002179294825","models/x3d/hparams/s.yaml","13","replicate",""
"CoX3D_transient_replicate_fr2_s","64","0.4947500228881836","models/x3d/hparams/s.yaml","13","replicate",""
"CoX3D_transient_replicate_fr2_s","60","0.4892500340938568","models/x3d/hparams/s.yaml","13","replicate",""
"CoX3D_transient_replicate_fr2_s","56","0.4815000295639038","models/x3d/hparams/s.yaml","13","replicate",""
"CoX3D_transient_replicate_fr2_s","48","0.4817500114440918","models/x3d/hparams/s.yaml","13","replicate",""
